title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,source,steps,recipe_url,image_url,kcal,fat,saturates,carbs,sugars,fibre,protein,salt
Easy Italian bean salad,A quick and easy summery salad - ideal for serving with a barbecue spread,,16 ratings,"['1 bunch spring onions', '2 garlic cloves, crushed', '1 red chilli, seeded and finely chopped', '2 x 400g cans cannellini beans, drained and rinsed', '1 can of butter beans', '6 tbsp olive oil', '2 tbsp white wine vinegar', 'plenty of chopped parsley']",Serves 8,10 mins,-,BBC Food,['Finely chop the spring onions and put into a bowl with the garlic and the chilli. Mix in the cannellini beans and the butter beans. Whisk the olive oil with the white wine vinegar and add plenty of seasoning. Stir through the salad with plenty of chopped parsley.'],https://www.bbcgoodfood.com/recipes/easy-italian-bean-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-4274_11-96cd839.jpg?quality=90&resize=440,400",0,0g,0g,0g,0,0g,0g,0g
Christmas dinner sausage roll,Combine the best bits of a Christmas dinner in one moreish bite with these canapés. Ideal for a festive buffet,,17 ratings,"['375g ready-rolled puff pastry', '2 heaped tbsp cranberry sauce', '200g turkey thigh mince', '50g dried stuffing mix', '6 chipolatas', '1 egg, beaten', '16 sage leaves', 'gravy, to serve']",Makes 16,20 mins,30 mins,BBC Food,"['Heat the oven to 200C/180C fan/ gas 6. Line a large baking tray with baking parchment. Unroll the pastry and cut in half lengthways. Spread the cranberry sauce down the middle of each half, leaving a 1-2cm border at each side.', 'Combine the mince with the stuffing mix and 1 tbsp water, then season. Spoon the mixture over the cranberry sauce, pressing down slightly, then lay the chipolatas on top in a line across the middle of each pastry half. Brush some of the egg along one edge of each pastry half, then fold up and over the filling, and press to seal to make two long sausage rolls. Turn them so the seams are underneath. Cut both into eight pieces (you should have 16 in total), then transfer to the tray. Brush with the remaining egg, then press a sage leaf on top of each roll. At this stage, you can freeze the rolls on the tray. Transfer to a container to keep frozen for up to two months.', 'Bake for 25-30 mins until golden (or 35-40 mins from frozen). Serve warm with gravy for dunking. Will keep chilled in an airtight container for up to three days.']",https://www.bbcgoodfood.com/recipes/christmas-dinner-sausage-roll,"https://images.immediate.co.uk/production/volatile/sites/30/2020/10/Christmas-dinner-sausage-rolls-89ed0fa.jpg?quality=90&resize=556,505",161,10g,4g,12g,161,10g,4g,12g
Citrus grape cake,A rustic Italian-style cake made with olive oil as well as butter. Wonderful eaten warm with a scoop of ice cream for pud,,10 ratings,"['225ml dessert wine, such as Muscat de Beaumes', '200g light muscovado sugar', '100g softened butter', '3 eggs', 'zest 1 orange', 'zest 1 lemon', '175ml extra-virgin olive oil', '225g plain flour, plus 1 tbsp for dusting', '1 tsp baking powder', '175g grape, halved and seeded', '4-5 tbsp demerara sugar']",Serves 8 - 10,15 mins,50 mins,BBC Food,"['Pour the wine into a small pan. Bring to the boil, then keep simmering until reduced down to 85ml – this will take 5-10 mins. Leave to cool.', 'Heat oven to 180C/fan 160C/gas 4. Brush a 23cm springform cake tin with olive oil, tip in 1 tbsp flour, then shake all over the pan until covered. Discard any excess. Beat together the sugar and butter until creamy and well combined. Add the eggs, one at a time, then stir through the zests. Stir together the cooled wine and olive oil, then pour a little into the cake mix. Stir, then fold in a third of the flour and the baking powder. Keep alternating between adding the liquid and flour until everything has been incorporated and the batter is smooth.', 'Spoon the cake batter into the prepared tin, then smooth the surface with the back of the spoon. Scatter the halved grapes over the top, then sprinkle over the sugar. Bake for 35-40 mins until a skewer inserted into the middle of the cake comes out clean. Eat warm or cool. Will store in an airtight container for up to 3 days.']",https://www.bbcgoodfood.com/recipes/citrus-grape-cake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-12228_11-3d1fd02.jpg?quality=90&resize=440,400",574,33g,10g,62g,574,33g,10g,62g
Egg & new potato salad,"Great for a summer lunch, picnic or barbeque - takes no time at all.",,5 ratings,"['hot boiled new potatoes', '2 tbsp olive oil', 'juice of 1/2 lemon', 'handful chopped parsley', 'hard boiled egg', 'bag of wild rocket', 'cucumber, diced, to serve']",Easy,5 mins,-,BBC Food,"['Toss some hot boiled new potatoes with the olive oil, lemon juice and parsley. Leave to cool, then toss with quartered hard-boiled eggs. Toss with wild rocket leaves and some diced cucumber to serve.']",https://www.bbcgoodfood.com/recipes/egg-new-potato-salad,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-3089_10-8f00ca9.jpg?quality=90&resize=440,400",0,0g,0g,0g,0,0g,0g,0g
Lemon shortbread,This zesty shortbread from BBC Good Food reader Jo Foster has a beautiful crumbly texture and zingy lemon flavour. Add ginger for an extra kick if you like,,27 ratings,"['100g salted butter, softened, plus a little extra for greasing', '50g golden caster sugar, plus extra for dusting', 'zest 1 large lemon', '8 pieces of crystallised ginger, finely chopped (optional)', '175g plain flour']",Serves 12,10 mins,40 mins,BBC Food,"['Heat oven to 150C/130C fan/gas 2 and grease a 22cm loose-bottomed fluted tart tin. Put the butter in a bowl and beat with a wooden spoon until soft. Beat in the sugar, then stir in the lemon zest and ginger.', 'Stir in the flour and work with your hands to form a soft dough. Tip into the tin and press into an even, flat layer with your fingers. Prick all over with a fork and bake in the oven for 40 mins until pale gold. Cut into wedges then leave to cool completely in the tin. Remove from the tin and dust with caster sugar to serve.']",https://www.bbcgoodfood.com/recipes/lemon-ginger-shortbread,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/lemon-ginger-shortbread-c963750.jpg?quality=90&resize=556,505",142,7g,4g,18g,142,7g,4g,18g
No-bake flapjacks,"Craving a snack? Whip up these easy no-bake vegan flapjacks, which you can flavour with chocolate chips or dried fruit and nuts of your choosing",,2 ratings,"['150g nut butter (we used peanut and almond)', '150ml maple syrup', '4 tbsp plant-based milk', '1 tsp vanilla extract', '200g porridge oats', '2 tbsp ground flaxseeds', '½ tsp cinnamon', '125g chocolate chips or dried fruit and nuts']",Makes 16,10 mins,5 mins,BBC Food,"['Line a 20cm square baking tin with baking parchment. Melt the nut butter (we used a mix of peanut and almond) in a pan over a low heat with the maple syrup, plant-based milk and vanilla extract until smooth. Take off the heat and mix in the porridge oats, ground flaxseeds and ½ tsp fine sea salt and cinnamon. Stir in the chocolate chips (ensure they’re vegan if needed) or dried fruit and nuts. Spoon into the tin and level out the top. Leave for 15 mins, then transfer to the fridge to set for at least 2 hrs. Cut into 16 squares. Will keep chilled in an airtight container for up to five days.']",https://www.bbcgoodfood.com/recipes/no-bake-flapjacks,"https://images.immediate.co.uk/production/volatile/sites/30/2023/11/No-bake-flapjacks-2c66842.jpg?quality=90&resize=556,505",183,9g,2g,20g,183,9g,2g,20g
Grilled salmon tacos with avocado salsa,"Fill crisp taco shells with flaked fish fillets, salsa and a garlicky yogurt sauce for a family-friendly weeknight dinner",,28 ratings,"['1 tbsp smoked paprika', '2 tsp ground cumin', '4 skinless salmon fillets', '200g natural yogurt', '1 garlic clove, crushed', '2 ripe avocados, stoned, peeled and diced', '1 red onion, finely chopped', '2 large tomatoes, deseeded and finely chopped', '2 limes, juice of 1, 1 cut into wedges', 'small pack coriander, chopped', '8 tacos shells']",Serves 4,20 mins,15 mins,BBC Food,"['Heat the grill to high and line a large baking tray with foil. Mix the smoked paprika and cumin in a small bowl. Rub the spices over the salmon fillets and put them on the baking tray. Pop under the grill for 8-10 mins until cooked through.', 'While the salmon cooks, combine the yogurt with the garlic and season to taste. In another bowl, combine the avocados, onion and tomatoes. Add the lime juice, season and scatter with coriander.', 'Warm the taco shells in the oven, following pack instructions. Flake the salmon and serve with the tacos, avocado salsa, yogurt and lime wedges.']",https://www.bbcgoodfood.com/recipes/grilled-salmon-tacos-avocado-salsa,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/grilled-salmon-tacos-with-avocado-salsa-19604a0-scaled.jpg?quality=90&resize=556,505",580,36g,8g,28g,580,36g,8g,28g
Speculoos cookies,These delectable biscuits are easy to make and full of spice. Make a batch of these moreish bites for a thoughtful homemade gift for someone special,,0 ratings,"['270g plain flour, plus a little for dusting', '150g caster sugar', 'pinch baking powder', '2 tsp speculoos spice (a mixture of cinnamon, cloves, coriander, ginger, cardamom and nutmeg), available online', '100ml milk', '100g butter, at room temperature', '200g flaked almonds']",Makes 45,30 mins,8 mins,BBC Food,"['Mix the flour, sugar, a pinch of salt, the baking powder and spice in a bowl. Add 50ml of milk and the butter. Knead quickly into a smooth dough, then wrap in foil and chill for 1 hour.', 'Heat the oven to 200C/fan 180C/gas 6. Line 2-3 baking sheets with baking parchment. Sprinkle the baking parchment with the flaked almonds. Roll the dough out on a lightly floured worksurface to about 3mm thick. Cut into rectangles (about 4cm x 6cm). Put these on the trays and press them down lightly on the almonds. Brush the biscuits with the remaining milk and bake for 8 minutes, keeping an eye on them to make sure they don’t get too brown at the edges. Allow to cool.', 'Trim any almonds sticking out of the edges of the speculoos to neaten them. Store in an airtight container.']",https://www.bbcgoodfood.com/recipes/speculoos-cookies,"https://images.immediate.co.uk/production/volatile/sites/30/2022/05/Speculoos-cookies-83ecfd7.jpg?quality=90&resize=440,400",-,-,-,-,-,-,-,-
Mexican veggie hash,"A storecupboard, vegetarian fry-up with beans, sweetcorn, avocado and eggs, served with soured cream and tortillas",,3 ratings,"['280g new or waxy potato, cut into cubes', '2 tbsp butter', '2 tbsp olive oil', '1 red chilli, half sliced, half deseeded and finely chopped', '1 garlic clove, chopped', '1 tsp Cajun seasoning', '198g can sweetcorn, drained and rinsed', '200g black bean (from a can), drained and rinsed well', '2 eggs', '1 ripe avocado, chopped', 'lime wedges, soured cream and warm tortillas, to serve (optional)']",Serves 2,10 mins,30 mins,BBC Food,"['Cook the potatoes in boiling salted water for 5 mins, then drain and let steam-dry. Heat half the butter and oil in the pan and fry the potatoes for about 10-15 mins until golden. Add the chopped chilli, garlic, Cajun seasoning, sweetcorn and black beans, and heat through for about 5 mins, then season.', 'Keep warm in a low oven while you fry the eggs in the rest of the butter and oil until cooked to your liking. Divide the potatoes between 2 bowls and top with an egg, some chopped avocado and the sliced chilli. Serve with lime wedges, soured cream and warm tortillas, if you like.']",https://www.bbcgoodfood.com/recipes/mexican-veggie-hash,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1283496_8-fa5a267.jpg?quality=90&resize=440,400",671,46g,14g,47g,671,46g,14g,47g
Salt & vinegar seasoning,"This classic, simple seasoning goes well with crisps, chips and a whole host of dishes. We've used malt vinegar for an authentic 'chip shop' flavour",,3 ratings,"['6 tbsp fine sea salt', '3 tbsp vinegar (we used malt)', '1 tbsp cornflour']",Serves 20,5 mins,-,BBC Food,['Put all the ingredients into a small bowl and use a wooden spoon to mix into a paste. Scrape the paste onto a baking tray and leave it uncovered at room temperature for 24 hrs until hardened. Use a fork to break up the hardened mix into a coarse powder. Will keep in an airtight container for up to two months.'],https://www.bbcgoodfood.com/recipes/salt-vinegar-seasoning,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/salt-and-vinegar-seasoning-4c87abc.jpg?quality=90&resize=440,400",-,-,-,-,-,-,-,-
