title,description,cuisine,rating,ingredient_list,serving,prep_time,cook_time,total_time,source,steps,nutrients,recipe_url,image_url
“Sizzling Beef” Steak Fried Rice,"Recipe video above. This is a bit special because it's rare to see fried rice made with juicy bites of steak! With marinated, tenderised beef pieces ""sizzled"" until golden (aka – your favourite Chinese restaurant Sizzling Beef!), this is an excellent recipe to make with economical cuts like sizzle steak, minute steak, and pre-cut stir fry strips. The beef is caramelised on the outside, and tenderised so it doesn't overcook. It's so soft and velvety, you will be shocked!","Asian, Chinese, Thai-ish",4.95 from 18 votes,"['300g/ 10 oz rump beef steak (US: top sirloin) (Note 1 for more cuts) sliced into small thin pieces (3-5mm / 0.2"" thick, ~1.5cm / 0.6"" squares)', '1/2 tsp dark soy sauce (Note 2)', '2 tsp oyster sauce (Note 3)', '2 tbsp water', '1 garlic clove', '1/4 tsp sugar (any)', '3/8 tsp baking soda (bi-carbonate soda) (ie 1/4 teaspoon HEAPED, Note 4)', '2 1/2 tbsp canola or peanut oil , separated', '4 green onion stems , cut into 1.25 cm / 1/2″ lengths, white part separated from green part', '2 garlic cloves , finely minced', '520g/ 1 lb (4 cups) cooked, day-old long grain white rice, (or other plain rice), refrigerated overnight (Note 5)', '200g/7 oz green beans , cut into 1.25 cm pieces (~ 2 heaped cups) (Note 6)', '2 tbsp fish sauce (Note 7)', '1 1/2 tbsp oyster sauce (Note 3)', '1/2 tsp sugar (any type)', '2 eggs', '1/2 tsp sesame oil', 'Pinch of salt and pepper (preferably white, but black ok)']","4 as a meal, 6 to 8 as a side",15 minutes ,10 minutes ,1 hour 25 minutes ,RecipeTinEats,"['Marinade & tenderise beef – Mix the marinade ingredients in a bowl then add the beef and toss well. Set aside for 1 hour (up to 24 hours), or the time specified in Note 1.', 'Sauce – Mix the Sauce ingredients. Set aside.', 'Whisk the Scrambled Egg ingredients. Set aside.', 'Sizzle beef – Heat 2 tablespoons of oil in a large non-stick pan over high heat (mine is 30cm/12"", see Note 8 for why no wok). Add the beef and cook for 2 minutes until the surface is sealed. Add the garlic, white part of the green onion and beans. Cook for another 1 minute until the beef is caramelised, stirring constantly so it doesn\'t catch and burn.', 'Rice and sauce – Add the rice and sauce. Toss for a good 1 1/2 – 2 minutes to give the rice a chance to get toasty.', 'Scramble egg – shove all the rice to one side and shif the pan so the empty space is set over the flame. Add the remaining 1/2 tablespoon oil and spread. Pour the egg, swirl, give it 10 seconds to partially set then do lazy swirls with your spatula to scramble it softly. Once mostly cooked, quickly (but gently!) toss it though the rice.', 'Serve – Add the green part of the green onion and toss through. Divide between bowls and enjoy!']","[['Calories', '509cal (25%)'], ['Carbohydrates', '63g (21%)'], ['Protein', '27g (54%)'], ['Fat', '16g (25%)'], ['Saturated Fat', '4g (25%)'], ['Sodium', '1198mg (52%)'], ['Potassium', '536mg (15%)'], ['Fiber', '3g (13%)'], ['Sugar', '3g (3%)'], ['Vitamin A', '585IU (12%)'], ['Vitamin C', '9mg (11%)'], ['Calcium', '85mg (9%)'], ['Iron', '3mg (17%)']]","https://www.recipetineats.com/beef-steak-fried-rice/
",https://www.recipetineats.com/tachyon/2024/09/Sizzling-Beef-Fried-Rice-54326a.jpg
No bake cheesecake,"Recipe video above. To make a no-bake cheesecake that rivals a classic baked one, using gelatine is essential. It's affordable, easy to find, easy to use, and results in a superior cheesecake compared to denser or sloppy alternatives made without gelatine. See FAQ above for rantings! The filling is exceptionally light-yet-creamy and melts into a smooth, velvety texture with every bite. And everybody loves the crispy, crumbly buttery crust! PS This cheesecake is not overly sweet, it is French patisserie/Japanese cakes level sweet. If you want American-level-sweet, increase the sugar to 1 cup.",Western,5 from 14 votes,"['200g/7 oz digestive biscuits (13 pieces, 1 2/3 cups crumbs), or other plain biscuits/cookies', '90g (6 tbsp) unsalted butter, melted', '1/2 tsp cinnamon powder (optional)', '1 tbsp brown sugar', 'Pinch of salt', '2 1/4 tsp (9 g) gelatin powder , unflavoured (Note 2)', '2 tbsp cold tap water', '1 cup thickened or heavy cream , or any whipping cream, FRIDGE COLD (Note 3)', '500g/ 16 oz cream cheese block (not tub), well softened at room temperature (Note 4)', '3/4 cup caster sugar / superfine sugar (Note 5)', '1 tsp vanilla extract', '1 tbsp lemon juice (not critical, can do without)', '6 strawberries , halved (plus extra for serving)', 'Whipped cream (half batch for decorating, or full batch for extra to serving on side)']",-,40 minutes ,,,RecipeTinEats,"['Remove sides of the cake pan. Use then overhang paper to slide cheesecake off the cake pan base onto a serving platter. Then slide the cheesecake off the paper.', 'Decorate the top with whipped cream and strawberries, if desired (or just dollop whipped cream on the plate). Cut into slices and serve!']","[['Calories', '288cal (14%)'], ['Carbohydrates', '30g (10%)'], ['Protein', '8g (16%)'], ['Fat', '15g (23%)'], ['Saturated Fat', '9g (56%)'], ['Sodium', '360mg (16%)'], ['Potassium', '158mg (5%)'], ['Fiber', '1g (4%)'], ['Sugar', '20g (22%)'], ['Vitamin A', '500IU (10%)'], ['Vitamin C', '1mg (1%)'], ['Calcium', '163mg (16%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/no-bake-cheesecake/
",https://www.recipetineats.com/tachyon/2024/09/No-bake-cheesecake_8.jpg
Tzatziki Chickpea Salad,"Recipe video above. Think of this Chickpea Salad as a better-for-you potato salad. Except – it can do so much more! Chickpeas mixed with an extra chunky tzatziki dressing, use this to make protein-laden salad bowls, super-food sandwiches, serve as a side or scoop with crackers.","Greek(ish), Western",4.93 from 14 votes,"['2 cucumbers , grated using a box grater, excess water squeezed out very well (3/4 cup once squeezed)', '1 1/4 cups Greek yogurt (or thick plain yogurt)', '1 tbsp lemon juice', '2 1/2 tbsp extra virgin olive oil , plus extra for drizzling', '1/4 cup roughly chopped fresh dill , plus extra for sprinkling, or half the quantity chopped fresh mint (Note 1)', '1 large garlic clove , crushed using garlic press , finely grate or very finely minced using a knife', '1/2 tsp cooking salt / kosher salt', '2 x 400g / 14 oz cans chickpeas , well drained (Note 2 for dried)', '3/4 cup finely sliced celery (1 – 2 stems)', '2 tbsp chopped capers (sub cornichons or dill pickles)']",4 – 8,12 minutes ,,1 hour 12 minutes ,RecipeTinEats,"['As a side salad or salad meal, stuffed into sandwiches/wraps (+ avocado, good ""glue""), add chicken or canned tuna for protein-boost salad meal.']","[['Calories', '367cal (18%)'], ['Carbohydrates', '45g (15%)'], ['Protein', '20g (40%)'], ['Fat', '13g (20%)'], ['Saturated Fat', '2g (13%)'], ['Sodium', '452mg (20%)'], ['Potassium', '754mg (22%)'], ['Fiber', '12g (50%)'], ['Sugar', '11g (12%)'], ['Vitamin A', '239IU (5%)'], ['Vitamin C', '9mg (11%)'], ['Calcium', '169mg (17%)'], ['Iron', '5mg (28%)']]","https://www.recipetineats.com/tzatziki-chickpea-salad/
",https://www.recipetineats.com/tachyon/2024/09/Tzatziki-chickpea-salad_0.jpg
White Chocolate Raspberry Loaf,"Recipe video above. White chocolate raspberry loaf is a quick bread recipe that is simple to make, rustically pretty and can be enjoyed anytime of the day. Tart raspberries plus sweet white chocolate is such a classic pairing! The raspberries add moisture and colour pops in a way that no other berry does. Use fresh or frozen, though it does rise a touch better using fresh. The glaze is the perfect finishing touch for a touch of extra sweetness without overwhelming this loaf (which is not very sweet at all). I'm a sucker for the thin crackly skin on the glaze.",Western,5 from 19 votes,"['125 g/ 8 tbsp unsalted butter (1 US stick) (Note 1)', '3/4 cup caster sugar (superfine sugar) (Note 2)', '1 cup plain yogurt , at room temperature, full fat best (Note 3)', '2 large eggs , at room temperature (~50-55g/2 oz each)', '1 tsp vanilla extract', '1 tsp lemon zest (not critical)', '1 3/4 cup plain flour (all-purpose flour)', '2 tsp baking powder', '1/2 tsp baking soda (Note 4)', '1/4 tsp cooking salt / kosher salt', '1 1/2 cups raspberries , fresh or frozen (not thawed, see Note 5 tips)', '2 tsp flour , prevents raspberries from sinking (Note 6)', '1/2 cup white chocolate chips', '6 – 8 raspberries (optional)', '1 cup icing sugar / powdered sugar , sifted', '1/2 tsp vanilla extract', '6 tsp milk , preferably full fat but low / 0% fat ok', 'Pinch of salt']",10 – 12,20 minutes ,1 hour 15 minutes ,2 hours 20 minutes ,RecipeTinEats,"['Mix Glaze ingredients in a bowl until smooth.', 'Glaze – Put the rack on a tray or plate to catch glaze drips. Drizzle glaze all over the cake. Scrape up glaze from the plate and glaze again.', 'Serve – Leave for 20 minutes to let a crust form on the glaze before cutting thick slices to serve.']","[['Calories', '369cal (18%)'], ['Carbohydrates', '53g (18%)'], ['Protein', '5g (10%)'], ['Fat', '16g (25%)'], ['Saturated Fat', '9g (56%)'], ['Sodium', '149mg (6%)'], ['Potassium', '218mg (6%)'], ['Fiber', '2g (8%)'], ['Sugar', '34g (38%)'], ['Vitamin A', '398IU (8%)'], ['Vitamin C', '5mg (6%)'], ['Calcium', '102mg (10%)'], ['Iron', '1mg (6%)']]","https://www.recipetineats.com/white-chocolate-raspberry-loaf/
",https://www.recipetineats.com/tachyon/2024/09/White-chocolate-raspberry-loaf_0.jpg
One Pot Cajun Beef Pasta with lots-of-veg,"Recipe video above. A big bubbly beefy pasta in a Cajun flavoured tomato sauce, filled with lots of hidden vegetables, all made in one pot! Love that it's a complete meal, and a great way to stretch 500g/1lb beef to serve more people with the bonus of a stack of ""hidden"" vegetables (carrot, zucchini ,zucchini, canned tomato and onion – yes, onion counts towards daily veg intake!). Leftovers are excellent! Fridge or freeze.",Western,4.82 from 22 votes,"['1 tbsp olive oil', '2 garlic cloves , finely minced', '1 onion , chopped', '500g/ 1 lb beef mince (ground beef) (Note 1)', '1 carrot , medium, shredded using box grater (I keep skin on)', '1 zucchini , medium, shredded using box grater (Note 2)', '1 red capsicum (bell pepper), chopped (Note 2)', '2 tbsp tomato paste', '800g/ 28 oz canned crushed tomato', '400g/ 14 oz kidney beans , drained (or other beans of choice, can omit)', '2 cups chicken stock/broth , low sodium (sub beef stock)', '2 cups water (just regular tap water!)', '350g / 12 oz (3 cups) elbow pasta (macaroni) , spirals, penne, ziti, small shells, rigatoni or similar size, uncooked (Note 3)', '1 1/2 cups (tightly packed) colby cheese or other melting cheese of choice, preferably freshly shredded (melts better)', '1 green onion stem , finely sliced (optional garnish)', '1 1/2 tsp dried thyme', '1 1/2 tbsp paprika (sweet/regular, not smoked or spicy)', '2 tsp garlic powder', '2 tsp onion powder', '1/2 tsp cayenne pepper , optional (faintly spicy)', '1/4 tsp black pepper', '1 1/4 tsp cooking salt / kosher salt']",7 – 8,15 minutes ,25 minutes ,,RecipeTinEats,"['Heat the oil in a large heavy based pot with a lid over high heat.', 'Cook vegetables – Cook the onion and garlic for 2 minutes. Add the beef and cook, breaking it up as you go, until you no longer see red meat. Add the carrot and zucchini, cook for 2 minutes until the water they release mostly evaporates. Add the capsicum and cook for 2 minutes.', 'Spices – Add the tomato paste and Cajun Spices. Cook for 1 minute.', 'Pasta sauce – Add the canned tomato, water (I swill the cans clean), stock and beans. Mix and bring to a simmer.', 'Add the pasta, stir, let it come back up to the simmer. Put the lid on and lower the heat slightly to medium so the liquid is simmering (not bubbling madly).', ""Cook for 15 minutes, stirring every few minutes so the base doesn't catch. The pasta should be a bit firmer than you want in the middle, and still a bit soupy which is good! Liquid gets absorbed in the next step."", 'Melt cheese – Give it a stir, smooth the surface, sprinkle with cheese. Put the lid on then turn the stove off (leave the pot on the stove). Leave for 3 minutes so the residual heat melts the cheese and the pasta finishes cooking.', 'Serve – Remove from the stove, sprinkle with green onion if desired, then serve immediately while saucy and the cheese is gooey!']","[['Calories', '507cal (25%)'], ['Carbohydrates', '59g (20%)'], ['Protein', '34g (68%)'], ['Fat', '16g (25%)'], ['Saturated Fat', '8g (50%)'], ['Sodium', '995mg (43%)'], ['Potassium', '1091mg (31%)'], ['Fiber', '9g (38%)'], ['Sugar', '9g (10%)'], ['Vitamin A', '3063IU (61%)'], ['Vitamin C', '36mg (44%)'], ['Calcium', '292mg (29%)'], ['Iron', '6mg (33%)']]","https://www.recipetineats.com/one-pot-cajun-beef-pasta/
",https://www.recipetineats.com/tachyon/2024/09/One-pot-Cajun-Beef-Pasta_0.jpg
Golden Halloumi with Honey and Thyme,"Recipe video above. It's impossible to resist devouring golden fried halloumi straight from the pan, when it's crispy on the surface and gooey inside. And why should we? It's so great plain! But one day, try it with a drizzle of honey and sprinkle of thyme. It is Outrageously Delicious (caps intentional) and a 2-second-way to dress up halloumi when you've got company. Serve with warm pita bread, olives, and a good olive oil for a simple yet thoroughly enjoyable starter. Tip: Handle the slices carefully so they hold together (there is a partial crack in the middle of halloumi blocks).","Greek, Western",5 from 8 votes,"['225-250g/ 8oz halloumi block, Cyprus made PDO stamped recommended (Note 1)', '2 tbsp olive oil', '1 1/2 tbsp honey (eyeball it), sub maple syrup', '1/2 tsp fresh thyme leaves and tiny sprigs , (sub heaped ¼ tsp white sesame seeds, 1.5 tbsp roughly chopped roasted walnuts or pistachios) (Note 2)', '2 – 3 pinches chilli flakes (red pepper flakes), optional']",1 Nagi,3 minutes ,3 minutes ,,RecipeTinEats,"['Cut halloumi into 1-1.25 cm thick slices (0.4 – 0.5"") (see Note 3). Place the slices on a paper towel and pat the surface dry.', 'Warm a serving plate. (Note 4)', 'Heat the oil in a non stick pan over medium high heat.', 'Fry – Carefully place the halloumi in the pan (I use my hands). Cook for 1 1/2 minutes or until the underside is golden. Shuffle if needed so they cook evenly.', 'Turn gently (I use a spatula + butter knife to guide) and cook the other side for 1 – 1/2 minutes until golden.', 'Transfer onto the serving plate.', 'Optional finishes – Working quickly, drizzle with honey, sprinkle with thyme and chilli flakes. I do full honey coverage for some slices, and for others just a drizzle.', ""Serve immediately, quick, before the halloumi goes squeaky! 🙂 Though actually, the squeak doesn’t bother me but it's at its prime straight out of the pan when the surface is still crisp and the inside is soft. (Note: Honey on the plate is ideal for bread mopping)""]","[['Calories', '311cal (16%)'], ['Carbohydrates', '9g (3%)'], ['Protein', '17g (34%)'], ['Fat', '23g (35%)'], ['Saturated Fat', '13g (81%)'], ['Iron', '0.1mg (1%)']]","https://www.recipetineats.com/pan-fried-halloumi-with-honey-and-thyme/
",https://www.recipetineats.com/tachyon/2024/09/Haloumi-honey-thyme_6.jpg
Chicken and Leek Pie,"Recipe video above. Tender bites of chicken and slippery pieces of sweet leek smothered in a creamy white-wine thyme infused sauce, bubbling under a golden puff pastry crust. Chicken and Leek Pie is comfort food we dream about! I cut my leeks in a specific way. I like larger pieces rather than thinly sliced rings which get too soggy-stringy for my taste. Also, if you don't like / can't get puff pastry, cover this pie in mash (like Cottage Pie!) or use a homemade shortcrust pastry. Make one big pie like I've done, or ramekins (makes 4 large, 5 regular). For a pie with a base, replace the filling in my Family Meat Pie (there will be leftover filling) or individual meat pies. See the FAQ above for the gluten-free option.",Western,5 from 27 votes,"['50g/ 3 1/2 tbsp unsalted butter , divided', '750g/ 1.5lb chicken thighs , skinless, boneless, cut into 1.8 cm / 3/4″ bite size pieces (Note 1)', '1/4 tsp each black pepper and cooking salt (kosher salt)', '80g / 3 oz streaky bacon , chopped into 1cm / 0.4″ squares (Note 2)', '2 leeks (Note 3)', '2 celery stems , sliced 4 mm / 0.2″ thick (cut thick end in half lengthways first)', '2 garlic cloves , finely minced', '1/3 cup chardonnay or other dry white wine (Note 4)', '1/4 cup flour (plain / all-purpose)', '1 tbsp dijon mustard (Note 5)', '2 thyme sprigs (or 1/2 tsp dried thyme)', '2 bay leaves (preferably fresh, else dried)', '1 cup chicken stock / broth , low sodium', '1 cup thickened / heavy cream (or any full-fat cream, or sub milk for lower fat)', '1/2 tsp cooking salt / kosher salt', '1/4 tsp black pepper', '2 x 20cm / 8"" frozen butter puff pastry sheets , or single sheet large enough to cover baking dish, 360g / 12 oz (Note 6)', '1 egg , yolk and whites separated, lightly whisked']",-,25 minutes ,1 hour ,2 hours 25 minutes ,RecipeTinEats,"['Preheat the oven to 200°C/375°F (180°C fan-forced). Use a 1.5 litre / 1.5 quart baking pan (Note 9) or 4 to 5 x ~350ml / 12 oz ramekins.', 'Connect puff pastry sheets (if needed) – Semi-thaw the puff pastry (Note 6). Brush the edge of one sheet with egg white, then overlap 0.5cm / 0.2"" with the other sheet to connect them. Use the back of a spoon to ""smear"" the pastry to hide the seam and firmly connect.', 'Cut out the pie lid (I use the dish as a cutting guide).', 'Optional strips for extra puffy edges (Note 8): Cut strips using the residual pastry to line the rim of the dish (if your dish has a thick rim, like mine) and place on the rim of the dish.', ""Fill the pie dish with the cooled filling and smooth the surface. Brush the pastry strips on the rim with egg white (if not using strips, don't do this step) then cover with the puff pastry lid."", 'Brush the lid with egg yolk. Cut a small X in the middle.', 'Bake 45 minutes or until the surface is a deep golden brown. Rest 5 minutes then serve!']","[['Calories', '662cal (33%)'], ['Carbohydrates', '29g (10%)'], ['Protein', '35g (70%)'], ['Fat', '47g (72%)'], ['Saturated Fat', '26g (163%)'], ['Sodium', '888mg (39%)'], ['Potassium', '575mg (16%)'], ['Fiber', '1g (4%)'], ['Sugar', '4g (4%)'], ['Vitamin A', '1726IU (35%)'], ['Vitamin C', '6mg (7%)'], ['Calcium', '95mg (10%)'], ['Iron', '4mg (22%)']]","https://www.recipetineats.com/chicken-and-leek-pie/
",https://www.recipetineats.com/tachyon/2024/09/Chicken-and-Leek-Pie_9.jpg
Wholesome Cinnamon Breakfast Muffins,"Recipe video above. Wholesome but don't taste like cardboard, I love them! A variant of the popular Morning Glory muffins, they're just sweet enough to be a morning tea treat yet healthy enough to be considered breakfast with only 12 grams of sugar per muffin. Soft moist crumb inside, they stay fresh for 5 days and freeze perfectly!",Western,4.86 from 35 votes,"['3/4 cup walnuts (or other nuts)', ""2 cups (lightly packed) shredded carrot , 2 – 3 carrots (use a box grater, I don't peel)"", '1 1/4 cups (lightly packed) shredded Granny Smith apple, including juices (1 apple, keep skin on)', '1/2 cup desiccated coconut (finely shredded, unsweetened)', '3/4 cup raisins (or sultanas, apricots or other dried fruit)', '2 cups wholemeal flour / wholewheat flour (or plain/all-purpose flour)', '1 3/4 tsp baking soda (bi-carbonate soda) (Note 2)', '2 tsp cinnamon powder', '1 tsp ground ginger (not critical, Note 3)', '1/2 tsp cooking salt / kosher salt', '3/4 cup brown sugar (tightly packed cup)', '3 large eggs , at room temperature (~50g/2 oz each)', '2/3 cup olive oil (not extra virgin), or canola oil, liquid coconut oil (Note 4)', '1/4 cup orange juice (sub any fruit juice or milk, Note 5)']",-,15 minutes ,25 minutes ,,RecipeTinEats,"['Preheat the oven to 190°C/375°F (170°C fan-forced).', 'Toast walnuts – Put the walnuts on a tray and toast for 8 minutes. Cool for 5 minutes on the tray then roughly chop into 5mm / 0.2"" pieces.', 'Spray a 12 hole standard muffin tin with oil, or line with muffin cases.', 'Batter – Whisk the dry ingredients in a large bowl. Whisk the wet ingredients until combined in a separate bowl. Pour the wet ingredients and all the add-ins into the Dry Ingredients bowl. Mix with a wooden spoon just until you can no longer see flour, then stop mixing (over-mixed batter = tough muffs!).', ""Divide the mixture between the holes – they will mound above the rim! (See photos in post). A lever ice cream scoop is super useful here. And don't worry, they won't overflow, they rise and dome."", 'Bake for 25 minutes or until a skewer inserted into the centre comes out clean.', 'Cool for 5 minutes in the muffin tin, then transfer onto a cooling rack and cool for at least another 5 minutes before grabbing on. Slathering with softened salted butter is encouraged!']","[['Calories', '358cal (18%)'], ['Carbohydrates', '41g (14%)'], ['Protein', '6g (12%)'], ['Fat', '21g (32%)'], ['Saturated Fat', '5g (31%)'], ['Sodium', '296mg (13%)'], ['Potassium', '326mg (9%)'], ['Fiber', '5g (21%)'], ['Sugar', '16g (18%)'], ['Vitamin A', '3644IU (73%)'], ['Vitamin C', '5mg (6%)'], ['Calcium', '47mg (5%)'], ['Iron', '2mg (11%)']]","https://www.recipetineats.com/cinnamon-breakfast-muffins/
",https://www.recipetineats.com/tachyon/2024/08/Cinnamon-breakfast-muffins-morning-glory-muffins_0-2.jpg
"Nagi’s Big, Easy Pasta Salad","Recipe video above. This is the big-batch pasta salad I make when I'm short on time. The trick that puts this into guest-serving territory is to toss the hot, freshly cooked pasta in the dressing. You will be shocked how much flavour it absorbs! Do this, and it's delicious no matter what you add in. My combination is the bare minimum that delivers everything I seek in a pasta salad. There's no need to add a gazillion ingredients! Workflow – Chop the veg and make the dressing while the pasta is cooking. This will cut down active cook/prep time to 15 minutes.",Western,5 from 20 votes,"['500g/ 1 lb bow tie pasta (farfalle) , or other short/medium pasta (Note 1)', '2 cucumbers , halved lengthways and finely sliced (~17cm/7"" long, sliced 2mm / 1/16"", I use a mandolin)', '3 cups (500g) cherry or grape tomatoes , halved (or chop 4 regular tomatoes)', '1/3 cup roughly chopped Kalamata olives (3/4 cup whole pitted or 1/2 cup sliced, then chop)', '200g/ 7oz Greek feta , cut into 6mm / 1/4"" batons (they will crumble a bit, this is good)', '1 packed cup basil leaves , torn by hand (Note 2 for alternatives)', '1/2 cup extra virgin olive oil', '1/3 cup apple cider vinegar (Note 3)', '2 garlic cloves , minced using garlic press or very finely minced using a knife', '2 tsp dijon mustard (can omit)', '2 tsp honey (sub maple syrup or 1 tsp sugar, Note 4)', '1 1/2 tsp Italian herbs mix (Note 5)', '3/4 tsp cooking salt / kosher salt', '1/4 tsp black pepper']",6 – 12,10 minutes ,15 minutes ,1 hour 5 minutes ,RecipeTinEats,"['Dressing – Shake the Dressing ingredients in a large jar. It should be sharp, the flavour mellows once tossed.', ""Cook pasta until soft – Bring a large pot of salted water to the boil. Cook the pasta until it is very soft, about 2 – 3 minutes longer than the time on the packet but taste to check because packet directions have been known to lie! Pasta firms up when it's cold (nobody likes hard, cold pasta!), so cook the pasta until extra soft."", 'Flavour soak – Drain the pasta very well, shaking off excess water. Transfer into a large bowl. Give the Dressing a good shake then pour over about two-thirds. Toss well, then leave the pasta to soak up the dressing as it cools (~40 minutes).', 'Toss – Add the tomato, cucumber, feta and olives. Pour over the remaining Dressing. Toss well. Add basil, toss again.', 'Serve – Tumble into big serving bowl. Dig in!']","[['Calories', '617cal (31%)'], ['Carbohydrates', '72g (24%)'], ['Protein', '17g (34%)'], ['Fat', '29g (45%)'], ['Saturated Fat', '7g (44%)'], ['Sodium', '915mg (40%)'], ['Potassium', '555mg (16%)'], ['Fiber', '5g (21%)'], ['Sugar', '8g (9%)'], ['Vitamin A', '692IU (14%)'], ['Vitamin C', '23mg (28%)'], ['Calcium', '225mg (23%)'], ['Iron', '3mg (17%)']]","https://www.recipetineats.com/nagi-big-easy-pasta-salad/
",https://www.recipetineats.com/tachyon/2024/08/Big-easy-pasta-salad_2.jpg
Hot buttered corn rice,"Recipe video above. Hot Buttered Corn Rice – a simple yet delicious upgrade from plain steamed rice. Serve with any cuisine, any dish – goes with everything. Make lots – everyone will go in for seconds!",Western,4.93 from 26 votes,"['50g/ 4 tbsp unsalted butter , divided', '3 big garlic cloves , finely minced (can use garlic press)', '2 cups frozen corn (no need to thaw), or fresh corn kernels (Note 1)', '1/4 tsp cooking salt / kosher salt', 'Pinch of pepper', '1 cup long grain rice , uncooked, not rinsed (Note 2)', '1 1/2 cups low-sodium chicken stock/broth (+ 2 tbsp extra if using fresh corn)', '2 green onion stems , finely sliced']",4 – 5 as a side,7 minutes ,12 minutes ,29 minutes ,RecipeTinEats,"['Pot size – Use a small pot or large saucepan about 20-22 cm/8-9"". (Note 3)', 'Sauté – Melt half the butter in a pot over high heat. Add the garlic and stir for 15 seconds. Add the corn and half the salt. Stir for 2 minutes.', 'Bring to simmer – Add the rice and stir for 30 seconds. Add the stock and remaining salt, and pepper. Stir, bring to a simmer (make sure the whole surface is bubbling/ripplling), then put the lid on and turn the heat down to medium low (or low, if your stove is strong). (Note 4)', 'Cook for 12 minutes (no peeking, no stirring!). The liquid should be absorbed by now – tilt the pot and take a quick peek to check.', 'Rest 10 minutes – Remove the pot from the stove and let it rest for 10 minutes with the lid on. This step is key, do not skip it! (Note 5)', 'Toss – Lift the lid, add the remaining butter, fluff the rice to melt the butter through. Add green onion and toss through.', 'Tumble into serving bowl. Serve hot!']",[],"https://www.recipetineats.com/hot-buttered-corn-rice/
",https://www.recipetineats.com/tachyon/2024/08/Hot-buttered-corn-rice_3.jpg
