title,description,cuisine,ingredient_list,serving,prep_time,cook_time,source,steps,recipe_url,image_url
Chicken yassa,"Inspired by their trip to Bristol, the Hairy Bikers make a warming Senegalese-style chicken yassa made with an abundance of onions marinated in Dijon mustard, lemon juice, ginger and chilli.",African,"['1 onion, grated', '4 garlic cloves, crushed', '15g/½oz ginger, peeled and grated', '2 tbsp Dijon mustard', '2 tbsp red wine vinegar', '1 lemon, juice only', '1 Scotch bonnet chilli, finely chopped', 'salt and freshly ground pepper', '8 chicken thighs, skin-on and bone-in', '2 tbsp vegetable oil', '4 onions, sliced', '3 bay leaves', '250ml/9fl oz chicken stock', '100g/3½oz green pitted olives']",Serves 6–8,less than 30 mins,30 mins to 1 hour,BBC Food,"['First mix all the marinade ingredients together and season with plenty of salt and pepper. Pour over the chicken thighs. Coat thoroughly, then cover and leave to marinate in the fridge for several hours, preferably overnight.', 'Take the chicken out of the fridge an hour before cooking to allow them to reach room temperature. Remove the thighs from the marinade and pat it dry. Retaining the marinade for later.', 'Heat the oil over medium heat in a large, wide-based casserole or lidded sauté pan. When hot, add the chicken, skin-side down, and cook until well browned. Turn and cook the underside for a few more minutes. Remove the chicken from the pan.', 'Add the onion and bay leaves and sauté on a low to medium heat until golden brown – it is important to get these quite caramelised. Add the reserved marinade to the pan and cook, stirring regularly for a few minutes until the base of the pan is completely deglazed.', 'Add the stock and return the chicken pieces to the pan, skin-side up. Put the lid on and bring to the boil, and cook for 10 minutes. Remove the lid, turn down the heat and simmer until the chicken is completely cooked through and the sauce has reduced.', 'Add the olives and heat for 1–2 minutes. Taste to check the seasoning and add more salt and pepper as necessary.', 'Serve hot alongside rice or couscous.']",https://www.bbc.co.uk/food/recipes/chicken_yassa_20973,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chicken_yassa_20973_16x9.jpg
Cape Malay-style braised chicken curry,A curry from South Africa that combines sweet and savoury flavours. Perfect for a cosy evening.,African,"['1 whole chicken on the bone, skin on, separated into 6–8 pieces', '1 onion, chopped', '2 carrots, peeled and chopped', '3 celery sticks, chopped', '1 head garlic, cut in half', '2 tbsp coriander seeds', '1 tbsp cumin seeds', '1 cinnamon stick', '3 cardamom pods, crushed', '4 whole cloves', '1–2 tsp sea salt', '1 tbsp black peppercorns', '2 tbsp white wine vinegar', '2 tbsp soft light brown sugar', '100g/3½oz apricot jam', '2 tbsp vegetable oil', '1 onion, diced', '4 garlic cloves, chopped', '1 tsp chopped fresh root ginger', '1 green pepper, seeds removed and diced', '2 beef tomatoes, chopped', '1 Maris Piper potato, peeled and diced', '1 sweet potato, peeled and diced', '1 tsp ground coriander', '1 tsp ground cumin', '2 tbsp curry powder', '1 tsp ground turmeric', '2 tsp ground fennel seeds', '1 green chilli, spilt', '150g/5½oz baby spinach', 'salt and freshly ground black pepper', '2 tbsp chopped fresh coriander', 'freshly steamed basmati rice']",Serves 4,less than 30 mins,over 2 hours,BBC Food,"['To make the chicken, place all of the ingredients in a large casserole and just cover with water. Bring to the boil, then reduce to a very gentle simmer for 2 hours. Remove the chicken from the pan and retain 400ml/14fl oz of the cooking liquor. Discard the rest, keeping the chicken.', 'To make the vinegar mixture, mix all of the ingredients together in a bowl. Set aside.', 'To make the curry, heat the oil in a large saucepan, over a medium heat and fry the onion, garlic, ginger, green pepper and tomato for 10 minutes or until softened.', 'Add the potato and sweet potato, spices, green chilli and 200ml/7fl oz of the chicken cooking stock. Simmer for 20 minutes until the vegetables are tender. Stir in the vinegar mixture. Add the cooked chicken and another 200ml/7fl oz of the stock. Taste and season with salt and pepper.', 'Carefully stir in the spinach and serve the curry in bowls with the coriander and basmati rice.']",https://www.bbc.co.uk/food/recipes/cape_malay-style_braised_02015,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/cape_malay-style_braised_02015_16x9.jpg
Lamb and apricot Cape Malay curry,"Creating your own Cape Malay curry powder gives a fresher, fruiter and full-bodied flavour to this dish.",African,"['1 shoulder of lamb (approximately 1kg/2lb 4oz), diced', '1 tsp ground coriander', '1 tsp ground cumin', '1 tsp garam masala', '2 tsp ground turmeric', '1 tbsp tamarind paste', '2 tsp dried chillies', '1 tsp fennel seeds', '3 garlic cloves', '1 cinnamon stick', '3 garlic cloves, finely grated', '1 red chilli, finely chopped', '1cm/½in piece fresh root ginger, finely grated', '2 tbsp sunflower oil', '2 onions, thinly sliced', '2 tsp dried chilli flakes', '1 tsp fennel seeds', '3 garlic cloves', '1cm/½in piece fresh root ginger, finely grated', '2 tbsp tomato purée', '400g tin chopped tomatoes', 'large handful dried apricots, roughly chopped', '2 tbsp apricot chutney', '100g/3½oz desiccated coconut', 'bunch fresh coriander, roughly chopped, to serve', '50g/1¾oz fresh coconut, grated, to serve', '500g/1lb 2oz dried couscous', '1 small cucumber, diced', '1 pomegranate, seeds only', 'bunch fresh basil, roughly chopped', 'bunch flatleaf parsley, roughly chopped', 'bunch fresh coriander, roughly chopped', 'handful dried apricots, roughly chopped', '4 spring onions, roughly chopped']",Serves 4,less than 30 mins,1 to 2 hours,BBC Food,"['To make the lamb, mix all the marinade ingredients together in a large bowl. Add the lamb and gently massage until completely covered in the marinade. Cover and leave to marinate in the fridge for at least 1 hour.', 'To make the curry, heat the oil in a frying pan over a medium heat. Fry the onions, chilli, fennel, garlic and ginger until soft and then stir in the tomato purée.', 'Stir in the tinned tomatoes and add the marinated lamb. Pour in enough water so the lamb is just covered and simmer for about 1 hour.', 'Add the dried apricots, chutney and desiccated coconut and simmer for 10 minutes.', 'Meanwhile, cook the couscous according to the packet instructions and stir in the remaining ingredients', 'Sprinkle the coriander and grated fresh coconut over the curry and serve alongside the couscous.']",https://www.bbc.co.uk/food/recipes/lamb_and_apricot_cape_72967,
Pork with monkey gland sauce,"Many South Africans would say that you can’t have a braai (South African barbecue) without monkey gland sauce, a sweet and tangy sauce that goes perfectly with grilled meats.",African,"['50ml/2fl oz vegetable oil', '3 red onions, chopped', '2 garlic cloves, finely chopped', 'thumb-sized piece fresh root ginger, grated', '75ml/2.5fl oz brandy', '250g/9oz apricot chutney', '2 tbsp wholegrain mustard', '2 tbsp Worcestershire sauce', '100ml/3½fl oz tomato ketchup', '200ml/7fl oz chicken stock', '1 pinch chilli flakes', '1 tsp smoked paprika', 'salt and freshly ground black pepper', '4 x 250g/9oz pork chops', '200g/7oz monkey gland sauce (see above)', '2 tbsp fresh coriander', '4 tbsp pickled mustard seeds', '2 tbsp garlic chives', 'salt and freshly ground black pepper']",Serves 4,less than 30 mins,30 mins to 1 hour,BBC Food,"['For the monkey gland sauce, add the oil and onions to a pan and fry over a medium heat until softened. Add the garlic and ginger and fry for another 5 minutes. Deglaze the pan with the brandy. Add the rest of the ingredients for the sauce and cook for 30 minutes over a gentle heat.', 'For the pork chops, preheat a barbecue to hot. Season each pork chop generously with salt and freshly ground black pepper and then cook on the barbecue for 7–8 minutes on each side (or use a griddle pan). Remove the chops from the barbecue using tongs and leave, covered, to rest in a wam place for another 8 minutes.', 'To serve, glaze the pork chops with the monkey gland sauce and garnish with the pickled mustard seeds, garlic chives, a few coriander leaves']",https://www.bbc.co.uk/food/recipes/pork_monkey_gland_sauce_52929,
Grilled pork chops with blatjang and radishes,Blatjang is a rich and fruity Cape Malay condiment traditionally served with bobotie and other meat dishes. Here it's delicious with spiced pork chops.,African,"['80g/3oz salt', '1 tsp coriander seeds', '1 tsp fennel seeds', '2 star anise', '1 tbsp roughly chopped stem ginger', '250g/9oz pork chops, trimmed', '350g/12oz dried apricots', '175g/6oz raisins', '7g/¼oz black mustard seeds', '7g/¼oz white mustard seeds', '250g/9oz caster sugar', '375ml/13fl oz cider vinegar', '100g/3½oz ground almonds', 'handful dried apricots, finely chopped', '1 red chilli, finely chopped', 'handful fresh coriander leaves', '½ mooli, thinly sliced', '½ black radish, thinly sliced', '10 breakfast radishes, thinly sliced', 'olive oil, for drizzling', 'salt and freshly ground black pepper', 'watercress, to serve']",Serves 4,overnight,30 mins to 1 hour,BBC Food,"['To make the pork chops, put the salt, coriander seeds, fennel seeds, star anise and stem ginger in a saucepan with 1.5 litres/2¾ pints water. Heat gently, then remove from the heat and chill until cold.', 'Put the pork chops in a container and pour over the cold marinade. Cover and leave in the fridge for 6 hours.', 'Preheat a barbecue or grill to the highest setting.', 'To make the blatjang, mix together the whole dried apricots, raisins, both types of mustard seeds, sugar and vinegar in a saucepan. Cook over a low heat for 15 minutes, or until thickened. Stir in the ground almonds, chopped apricots, chilli and coriander.', 'Grill the marinated pork chops for 5 minutes on each side, or until cooked through.', 'Meanwhile, to make the radishes, mix the mooli with the black radish and breakfast radishes, drizzle over the oil and season.', 'Serve the pork chops with the blatjang and radishes and scatter over the watercress.']",https://www.bbc.co.uk/food/recipes/grilled_pork_chops_with_74983,
Classic cheeseburger with special sauce and cheese skirt,"Anthony Murphy shares his irresistible burger recipe, featuring dill pickles and a caramelised ‘cheese skirt’.",American,"['230g/8oz mayonnaise', '80g/3oz American mustard', '80g/3oz store-bought tomato relish', '80ml/5 tbsp store-bought French dressing', '2 tsp black peppercorns', '2 tbsp mustard seeds', '120ml/4fl oz white malt vinegar', '2 tbsp caster sugar', 'pinch chilli flakes', '2 tbsp salt', '250g/9oz baby cucumbers, thinly sliced', '2 garlic cloves, thinly sliced', 'small bunch fresh dill, chopped', '2 slices bacon', '170g/6oz quality minced beef (preferably a mix of chuck and brisket)', '2 brioche buns, sliced in half', '2 slices American cheese', '2 slices Swiss cheese', '1 red onion, sliced', '¼ iceberg lettuce, shredded', '100g/3½oz grated mild cheddar']",Serves 2,30 mins to 1 hour,10 to 30 mins,BBC Food,"['To make the special sauce, combine all ingredients in a bowl and set aside.', 'To make the pickles, set a small frying pan over a medium heat and add the peppercorns and mustard seeds. Toast until fragrant, then pour in 240ml/8½fl oz water and the vinegar. Add the sugar, chilli flakes and salt, then stir until they are all dissolved and the liquid just starts to boil. Remove from the heat.', 'Put the cucumbers, garlic and dill into a sterilised jar and pour over the warm pickling liquor. Keep in the fridge until needed.', 'Heat a large non-stick frying pan over medium-high heat. Add the bacon to the pan. Fry for 2–3 minutes on each side, or until the fat is golden. Remove and keep warm.', 'To make the burger patties, separate the beef mince into two equally sized balls. In the same pan, place the patty balls on the hot surface and smash the burger into the frying pan with a spatula or burger smasher. Season with salt and pepper and cook for 3 minutes. Flip the patties and cook for a further 3 minutes.', 'On the base of the brioche bun, layer the special sauce, patties, slice of each cheese, a tablespoon of pickles, bacon, red onion slices and lettuce leaves.', 'Finally, make the ‘cheese skirt’. Divide the cheddar into two mounds in the hot frying pan, Allow the cheese to crisp up and caramelise, then flip the cheese disks over to cook the other side.', 'Finish the burger with the cheese skirt and bun lid and enjoy one of the most indulgent cheese burgers yet.']",https://www.bbc.co.uk/food/recipes/classic_cheeseburger_70664,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/classic_cheeseburger_70664_16x9.jpg
Sticky PX-glazed chicken wings with pickled salad,"Paul Ainsworth’s chicken wings feature regularly on the menu at his Padstow restaurant, Caffè Rojano. Try them yourself this weekend.",American,"['250ml/9fl oz Pedro Ximénez sherry', '40g/1½ oz black treacle', '150g/5½oz tomato ketchup', '60ml/4 tbsp dark soy sauce', '1 tsp hot smoked paprika', '30g/1oz honey', '35g/1¼ oz sriracha', '50g/1¾oz caster sugar', '50ml/2fl oz white wine vinegar', '5g yellow mustard seeds', '1 tbsp extra virgin olive oil', '1 pinch Cornish sea salt', '1 red onion, sliced', '½ red cabbage, finely sliced', '2 tbsp olive oil', '12 chicken wings', '¼ cucumber, de-seeded and sliced', '5g chopped fresh chives']",Serves 4,less than 30 mins,10 to 30 mins,BBC Food,"['Preheat the oven to 200C/180C Fan/Gas 6.', 'Pour the sherry into a medium-sized saucepan. Bring to the boil and reduce by half (to about 125ml/4fl oz). Add the rest of the PX glaze ingredients and reduce until nice and thick (a ketchup-like consistency).', 'For the pickled salad, put the sugar, white wine vinegar, mustard seeds, olive oil, sea salt and 150ml/5fl oz water into a small saucepan and bring to the boil. Once boiled set aside and leave to cool.', 'Add the red onion and red cabbage to the pickling liquid. Steep for at least 2 hours before eating. The longer they pickle for, the better the vegetables will taste.', 'For the chicken wings, add the olive oil to a large ovenproof frying pan. Place over a high heat and carefully add the wings to the hot oil, one by one. Fry for 3 minutes on each side, then transfer the frying pan to the preheated oven. If you don’t have an ovenproof frying pan, you can use a baking tray or ovenproof dish. Cook for around 10 minutes, turning the wings over after 5 minutes.', 'Take the chicken wings out of the oven, blot on kitchen paper, then transfer to a bowl and add some of the PX glaze until they are sticky and delicious. Serve on a large plate in the middle of the table and top with some of the pickled salad, fresh cucumber and chopped chives.']",https://www.bbc.co.uk/food/recipes/sticky_px-glazed_chicken_26292,
Chicken parmigiana,"Anna Del Conte's chicken parmigiana is the easy Italian-American chicken bake that's perfect for midweek cooking. Crunchy, cheesy and with an easy tomato sauce, this is sure to become a family favourite.",American,"['2 tbsp olive oil', '2 garlic cloves, crushed', '400g tin chopped tomatoes', '4 chicken breasts', '50g/1¾oz dry breadcrumbs (panko breadcrumbs work well)', '1 free-range egg, beaten', '25g/1oz butter', 'pinch dried chilli flakes', '100g/3½oz mozzarella, cut into 5mm/¼in-thick slices', 'handful fresh basil or oregano leaves', 'salt']",Serves 4,less than 30 mins,30 mins to 1 hour,BBC Food,"['Heat 1 tablespoon of the oil in a saucepan over a medium heat and fry the garlic until soft. Add the tomatoes and gently simmer for 30 minutes.', 'Preheat the oven to 220C/200C Fan/Gas 7. Lay the chicken breasts in between two sheets of baking paper and bash with a meat tenderiser or rolling pin, until flattened slightly.', 'Season the breadcrumbs with salt in a shallow bowl or plate. Put the egg in another shallow bowl. Coat the chicken in the egg and then in the breadcrumbs.', 'Heat the remaining oil and the butter in a frying pan over a medium–high heat. Add the chicken and cook for 5 minutes, or until crisp, turning halfway through.', 'Put half of the tomato sauce in a shallow ovenproof dish. Lay the chicken on top, scatter with the chilli flakes and cover with the remaining sauce. Top with the mozzarella and cover with a lid or foil. Bake for 10 minutes.', 'Uncover the chicken and bake for a further 8–10 minutes, depending on the thickness of the breast, until cooked through. Top with the basil and serve.']",https://www.bbc.co.uk/food/recipes/chicken_parmigiana_40336,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/chicken_parmigiana_40336_16x9.jpg
Air fryer chicken parmigiana,"A firm family favourite, this is traditionally served with spaghetti but it is just as delicious with a simple crisp green salad.",American,"['1 small garlic clove, sliced', '½ onion, thinly sliced', '1 small carrot, peeled, halved lengthwise and thinly sliced', '100g/3½oz cherry tomatoes, halved', 'olive oil spray', '1 basil sprig (or small handful basil leaves)', 'salt and freshly ground black pepper', '2 chicken breasts', '1 large free-range egg, beaten', '50g/1¾oz panko breadcrumbs', '15g/½oz Parmesan, finely grated', '50g/1¾oz mozzarella, sliced', 'small handful parsley leaves, roughly chopped, to garnish']",Serves 2,less than 30 mins,10 to 30 mins,BBC Food,"['To make the sauce, heat the air fryer to 200C. In a heatproof tray or bowl that will fit inside the air fryer, mix together the garlic, onion, carrot and cherry tomatoes. Spray a few times with the olive oil spray and season well with salt and pepper. Cook for 8–10 minutes, until soft. Transfer to a blender or food processor, add the basil and blend to a smooth purée. Set aside.', 'To make the chicken, lay the chicken breasts on a piece of baking paper and cover with another sheet of baking paper. Use the end of a rolling pin to bash the breasts until about 2cm/¾in thick.', 'Heat the air fryer to 205C. Place the egg in a small, wide bowl. Mix the panko breadcrumbs with most of the Parmesan, reserving about 2 teaspoons, in a wide bowl or large plate.', 'Dip the chicken breasts first into the egg mixture and then into the Parmesan breadcrumbs. Press well to ensure a good, even coating (if there are any uncoated patches, dip into the egg and breadcrumbs again).', 'Lay the chicken breasts in the air fryer (you may need to do one at a time, depending on the size of your air fryer) and cook for 10 minutes, turning the chicken over after 6 minutes.', 'When the chicken is golden and cooked through, remove from the air fryer and spoon half of the tomato sauce over each breast, then top with the mozzarella and a sprinkling of the reserved Parmesan. Return to the air fryer for 3 minutes to melt the cheese, then remove and garnish with the parsley.']",https://www.bbc.co.uk/food/recipes/air_fryer_chicken_breast_37977,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/air_fryer_chicken_breast_37977_16x9.jpg
Hot dog with fries and gravy,"Stuff your next hot dog with caramelised onions, buttery crisp bacon and pickles. Serve with shoestring fries, drenched in gravy.",American,"['200g/7oz beef trimmings', '1 tbsp olive oil', '10 button mushrooms, halved', '1 banana shallot, roughly chopped', '3 garlic cloves, roughly chopped', '1 bay leaf', '2 bunches fresh thyme', 'handful black peppercorns', '175ml/6fl oz red wine', '1 litre/1¾ pint chicken stock', '1 litre/1¾ pint veal stock', '1 tsp red wine vinegar', '25g/1oz unsalted butter', '2 onions, thinly sliced', '2 tbsp olive oil', '50g/1¾oz unsalted butter', 'pinch salt', '5 rashers streaky bacon', '50g/1¾oz unsalted butter', '2 medium potatoes, peeled and cut into 1cm thick fries', '1 tbsp olive oil', 'pinch salt', '30g/1oz curd cheese', '30g/1oz pickled jalapenos', '2 hot dog sausages', '2 hot dog buns', '30g/1oz curd cheese', '25g/1oz ketchup', '25g/1oz yellow mustard', '1 tsp fresh chives, finely chopped', '5 pieces pickled cucumber']",Serves 2,less than 30 mins,10 to 30 mins,BBC Food,"['Preheat the oven to 200C/180C Fan/Gas 6. To make the beef gravy, add the beef trimmings to a flameproof roasting pan with the olive oil and roast until golden, around 15 minutes. Add the mushrooms, shallot, garlic, the herbs, and peppercorns and cook until caramelised, another 20 minutes.', 'Transfer the roasting pan to a medium heat on the hob, add the red wine to deglaze and cook for 5 minutes until reduced. Add the stocks and simmer until the volume of the liquid is reduced by one third. Strain the gravy through a sieve into a small saucepan on a low heat, finish with the red wine vinegar and butter. Turn off the heat and put to one side.', 'To make the caramelised onions, put a large frying pan over a low heat with the butter and oil. Cook the onions gently until golden and soft, this will take 15–20 minutes. Drain the fat and season with salt. Set aside.', 'Meanwhile, make the crispy bacon. Put a small frying pan over a low heat and add the butter. When foaming, add the bacon and cook until golden. Drain and remove all the fat. Chop into a fine crumb. Set aside.', 'To make the hot dogs, add the sausages to a griddle pan on a high heat with the oil. Cook for around 5 minutes, turning regularly, until lightly coloured on all sides. Transfer to a baking tray and roast in the oven for around 10 minutes.', 'Meanwhile to make the fries – toss them in a large bowl with the oil and seasoning. Cook in an air fryer at 200C for 10–15 minutes, until crispy.', 'Cut a ‘V’ shape out of the buns using a serrated knife. Place the caramelised onions in the bottom of each bun and top with the sausages. Divide the curd cheese between the top of each sausage and place in oven for 1 minute to melt and warm the buns. Squeeze the mustard and ketchup over the top and garnish with the pickled cucumbers, crispy bacon and chives.', 'To finish the fries, heat the gravy and pour over the top of the cooked fries. Finish with a scattering of the curd cheese and the jalapeños. Serve alongside the hot dogs.']",https://www.bbc.co.uk/food/recipes/hot_dog_with_fries_and_74533,https://ichef.bbci.co.uk/food/ic/food_16x9_832/recipes/hot_dog_with_fries_and_74533_16x9.jpg
