title,description,cuisine,rating,ingredient_list,servings,prep_time,cook_time,rest_time,ready_time,source,steps,recipe_url,image_url
Picanha Steak With Rice And Beans,"One of Brazil’s most loved grilled meats, the picanha is both the name of the dish and the name of the cut used to make the dish. The cut comes from the top back side of the animal and is located above the butt. The meat is cut into slices which are generously sprinkled, then skewered and cooked over embers. When done, the meat is carved, and the outside slices are served. The remaining picanha meat is salted again, then placed over the embers so the outsides can caramelize and be sliced again for another portion. It is a mainstay at Brazilian churrasqueiras (barbecue restaurants) where it’s served sided with dishes like farofa, rice and beans, and vinaigrette.","Brazil, South America",4.2,"['1 cup (185g) long-grain rice', '1 tbsp extra-virgin olive oil', '6 cloves garlic, crushed', '1 tsp chopped chives or parsley', '3 slices bacon, chopped', '1 white onion, chopped', '1/4 cup (60 ml) marsala wine', '1 tsp garlic powder', '1 tbsp tomato paste', 'Kosher salt', 'black pepper, freshly ground', 'pinch crushed red pepper flakes', '2 (15-oz/400g) cans pinto beans', '2 bay leaves', '1 picanha steak, about 2.5 lbs/1.35kg', 'Kosher salt']",4,30min,1h 40min,-,2h 10min,TasteAtlas,"['Add the rice and enough water to cover to a medium pot. Swish the rice a few times to get out as much starch as possible.', 'Add oil to a heavy-bottomed pan or a Dutch oven and heat it over medium-low heat. Once heated, add the garlic and stir-fry until golden and aromatic, about 2 minutes. Then, take off heat and strain, reserving the oil. Keep the sautéed garlic in a separate bowl.', 'Place a pot over high heat. Add the garlic oil and the rice. Sauté, constantly stirring, until translucent and toasted. After 2 minutes, pour in 2 cups (480 ml) of water. Bring to a boil, then simmer with the lid on top, but slightly uncovered so the steam can come out, for 20 minutes.', 'Finally, add the sautéed garlic. Then, transfer the rice into a bowl and keep warm.', ""To the same pot you've cooked rice in, add the bacon. Place the pot over medium heat and cook for 2 minutes. Then, add the onion, and cook for 2 minutes, constantly stirring until softened and translucent. Pour in the wine and deglaze the pot — scrape the bottom of the pan to release all the stuck bits."", 'Mix in the garlic powder and the tomato paste, then pour in ¼ cup (60 ml) water. Next, add the beans and fill the pot with water. Finally, add the bay leaves. Simmer for 45 minutes, covered.', 'Then, take the lid off. With a masher, mash the beans until thickened. Take out the bay leaves.', 'Set the oven to preheat to 300°F/150°C.', 'Place the picanha fat side-down onto a kitchen surface and cut off the silver skins. Cut the first slice WITH the grain. Then, cut the remaining picanha AGAINST the grain into 1"" to 1 1/4""-thick (2.5 cm thick) slices.', 'Season the slices of meat liberally with salt so they are well coated. Trim the fat if you so desire.', 'Heat a large cast-iron skillet until smoking hot. Sear the steak, 2 minutes per side until richly golden.', 'Arrange the steaks in a baking tray and bake in the preheated oven until the internal temperature reaches 135°F/57°C.', 'Slice and serve with rice and beans.']",https://www.tasteatlas.com/picanha/recipe,-
Pastel De Nata,"Flaky, laminated pastry shells filled with a creamy egg yolk custard, flavored with cinnamon, or pastel de nata for short, is the world-famous Portuguese dessert invented by Catholic nuns and monks sometime before the 18th century. The preparation is a lengthy one, and every step should be done with the utmost care. First, the pastry is made by laminating the dough with butter — however, lard was used before, and margarine is commonly used today instead. The custard is made with just milk, water, sugar, and egg yolks, and flavored with cinnamon, or in some recipes also with vanilla and lemon, which has the purpose of cutting the sweetness of the custard. However, in any case, the custard should not be overly sweet. Once the pastry shells have been filled with custard, they are baked in a high-temperature oven for a short time, which gives for a blistering burn on the top that makes these custard tarts instantly recognizable. Pastel de nata should be eaten shortly after baking,... READ MORE","Lisbon District, Portugal",4.1,"['290g (10.2 oz) flour', '1/4 tsp salt', '210 ml (3/4 cup + 2 tbsp) water', '240g (8.5 oz) very soft unsalted butter', 'extra flour, for dusting', '40g (1.3 oz) flour', '60 ml (1/4 cup) milk', '165 ml (2/3 cup + 1 tsp) water', '240g (8.5 oz) superfine sugar', '1 cinnamon stick', 'another 250 ml (1 cup + 2 tsp) milk', '1/2 tsp vanilla, optional', '6 egg yolks', 'powdered sugar and cinnamon, for sprinkling']",12,1h 15min,20min,40min,14h 15min,TasteAtlas,"['Add the flour, the salt, and the water to a mixing bowl of a stand-alone mixer fitted with a dough hook. Mix for a few minutes until you get a sticky dough that pulls away from the sides of the bowl.', 'Let the dough rest for 10-15 minutes and generously sprinkle your working surface with flour.', 'Use a dough scraper to transfer the dough from the bowl onto a floured working surface.', 'Push the edges using a dough scraper to give it as much of a rectangular shape as possible — this may be difficult as the dough is very sticky and loose.', 'Generously sprinkle the top of the dough with flour, then wrap the dough, with the flour included in cling film. Rest the dough for 10 minutes.', 'Heavily flour a large working surface and place the dough in the center. Roll out, using a dusted rolling pin, into a 16x16-inch (40.5x40.5 cm) square.', 'Gently brush off the excess flour from the surface of the dough using a soft brush.', 'Cover 2/3 of the dough with 1/3 of the butter — evenly arrange it in small dabs first, then spread it gently using an offset spatula, leaving a 1-inch (2.5 cm) outer border unbuttered.', 'Before you can fold the dough, you will need to unstick it from the working surface. To do that, help yourself with a dough scraper and lots of flour that you should drive under the dough as you push it with the scraper.', 'Fold one-third of the dough over the middle part of the dough, then fold the other outer third of the dough over the center of the dough as well.', 'Now, unstick this folded strip of dough, sprinkle some more flour on the work surface, and turn the dough 90 degrees, so its longer part is facing you. Roll out into a 16x16-inch (40.5x40.5 cm) square.', 'Brush the flour from its surface and repeat the buttering step.', 'Roll out to an 18x21-inch (45.5x53.5 cm) rectangle, taking care that the shorter side is facing you.', 'Trim the edges with a dough scraper to get a neater finish. Brush away the flour and spread the last third of butter over the entire surface of the dough.', 'Roll into a cylinder, with the help of a dough scraper to unstick the dough, while brushing away the flour with a soft brush. Take care to roll it very tightly, especially in the beginning.', 'Trim away the edges, then cut the roll in half, so each half makes for 12 1-1.5-inch (2.5-3.75 cm) pieces.', 'Wrap each roll separately in cling film, and refrigerate for at least a couple of hours, but preferably, overnight.', 'Mix 60 ml (1/4 cup) of milk and 50g (1.75 oz) of flour in a bowl, then set it aside. To a heavy-bottomed saucepan, add water, sugar, and a cinnamon stick.', 'Heat over low heat until the temperature reaches 100°C (210°F) — keep a digital thermometer at hand to check the temperature, and do not stir, but allow the syrup to dissolve on its own.', 'Meanwhile, in another pan, boil the milk, and pour it over the milk and flour mixture, while constantly stirring. If desired, you can mix in 1/2 a teaspoon of vanilla.', 'Once the syrup reaches 100°C (210°F) temperature, take out the cinnamon stick with a pair of thongs, then pour it into the milk and flour mixture, while constantly whisking.', 'Once the syrup is incorporated, whisk for another 10-15 minutes so the mixture can cool down enough to add the egg yolks — it should be still warm but not hot — then, whisk in the yolks.', ""Sieve the custard into a jug, so it's easier to measure out when pouring it into pastry shells. Cover the jug with cling film and set it aside for later."", 'Cut the log from the refrigerator into 12 equal pieces, about 1-1.5 inches (2.5-3.75 cm) each.', ""Place each piece in 12-hole, regular-sized cupcake pan that you've greased lightly. Leave it to sit for 10-15 minutes so the butter can melt a bit."", 'Moisten your thumbs with cold water, then press on the center of the pastry to push it down and stretch it a bit.', 'Then, once the bottom of the hole is covered, draw the dough up its sides, taking care that you do not overstretch it, or the custard might spill out.', ""Pour custard into each pastry shell, so it's 3/4 full."", 'Bake in a 280-290°C (540-550°F) oven for eight to nine minutes.', 'Eat warm, sprinkled with powdered sugar and cinnamon.']",https://www.tasteatlas.com/pastel-de-nata/recipe,https://www.tasteatlas.com/images/recipes/aba5f65d03f64606b42b033c2fa9676c.jpg?mw=910
Guotie With Meat And Cabbage Filling,"Belonging to a group of Chinese jiaozi dumplings, guotie, also known as potstickers, are prepared by searing the bottom part while the rest of the dumpling is steamed, thus creating a play on textures. The preparation begins with making the dough for the wrappers from just flour, salt, and warm water. The dough is then left to rest, and in the meantime, the filling is prepared by mixing minced pork, best if minced by hand using a cleaver, and minced cabbage with, including but not limited to, sesame oil, shrimp, ginger, scallions, peanut oil, soy sauce, and rice wine. Next, the dough is divided into small portions which are rolled into 1-2mm circles using a Chinese rolling pin, which unlike the western one is smaller and shorter. To form the dumplings, a small amount of the filling is spread in the center of each wrapper, and then the opposite sides of the dough are pinched together to seal — the ends are left open, which allows the meat juices to flow out into the pan, making the crust on the bottom more flavorful. The assembled guotie dumplings are arranged in a large, heated, and oiled pan and seared until the bottom browns, at which point, a mixture of flour and water is poured into the pan which is then covered with a lid, and the dumplings are cooked until the liquid boils off. Once cooked, the pan is covered with a plate and inverted so the crispy side is on top, as that way the crispy bottom will not turn soggy. Guotie are served warm with the dipping sauce on the side, traditionally, rice vinegar zhenjiang xiang cu.","China, Asia",4.4,"['300 g flour', '160 g warm water', '200 g minced meat (pork, beef, or chicken)', '400 g cabbage', '1 tsp salt', '1 tsp cooking wine', '1 tsp soy sauce', '2 tsp peanut oil', '1 tsp sesame oil', '5 g shallots, chopped', '5 g ginger, chopped']",3,1h 10min,15min,-,1h 25min,TasteAtlas,"['Slowly add warm water to the bowl with flour, stirring with chopsticks as you add. Knead into a smooth dough, then cover the bowl with a damp cloth. Set it aside for 20 minutes for the dough to rest.', 'Divide the dough into 20g pieces. Flatten each piece with your palm first, then roll out into a thin circle on a lightly floured working surface.', 'Mix meat, cooking wine, soy sauce, salt, two tablespoons of water. Leave the meat to rest for a while, then add the peanut and the sesame oil, and stir in the diced cabbage, the ginger, and the scallions.', 'Fill the center of each circle of dough with the meat mixture, then pinch together the two opposite sides of the dough to seal.', 'Arrange the guotie in a heated, greased, and large pan. Fry until the bottom of the guotie catches color. Then, pour in a mixture of a teaspoon of flour and half a bowl of water, and cover with a lid. Cook until the water evaporates and no longer hear crackling sounds.', 'Serve hot, bottom side up, with the dipping sauce on the side.']",https://www.tasteatlas.com/guotie/recipe,https://www.tasteatlas.com/images/recipes/50cb1d2d3a2e49068220576f195d7135.jpg?mw=910
Traditional Shashlik,"Shashlik is a type of barbecue present in countries of the Caucasus and Central Asia, and even countries like Poland and Lithuania. The traditional Russian version is made only with lamb, salt, pepper, and onion. Today, pork, beef, and fish like sturgeon are also used, and the marinade will include lots of additional ingredients, such as vinegar, wine, pomegranate juice, kefir, and even mayonnaise, depending on the country and the recipe. The meat is traditionally threaded onto wide metal skewers and barbecued over charcoal. The meat does not need any big side dishes; fresh and ripe vegetables cut into chunks are usually best. Sometimes, jacket potatoes and different sauces accompany the meat.","Russia, Europe",4.5,"['2 kg (4.4 lbs) lamb leg or loin, or pork neck', '1 kg (2.2 lbs) onion', 'salt, to taste', 'ground black pepper, to taste']",10,30min,20min,-,4h 50min,TasteAtlas,"['Cut the meat into 5 cm (2"") cubes.', 'Peel the onions and cut them into rings. Place the onions in a large bowl, season with salt, and mix and mash them with your hands until they release juice and turn soft.', 'Place the meat into a large bowl (not a plastic one!), season with salt and pepper to taste, and mix so the meat gets well seasoned.', 'Add the onions and mix to combine them, then press on the mixture to remove all the air out of it. Marinate for 3-4 hours.', 'Remove all the onion from the meat and thread it onto wide, metal skewers.', 'Grill for about 20 minutes, turning often. During grilling, there should be no flames on the coal because it will burn the meat.']",https://www.tasteatlas.com/shashlik/recipe,-
Pizza Margherita,"A true pizza Margherita is made with a simple bread dough consisting of flour, yeast, salt, and water, and a topping of either peeled or fresh tomatoes, mozzarella or fior di latte, salt, extra virgin olive oil, and basil leaves. The topping will also often include grated hard cheese, typically pecorino, or a 50:50 mixture of pecorino and Parmigiano Reggiano. The dough is twice-proven and should be shaped by hand only. Once shaped, the disc of dough should not exceed 35 cm (13.5-inch) and should have a raised 1-2 cm (1/2-inch) outer rim, also known called cornicione, while the center should be about 0.3 cm (1/8-inch) thick. Traditionally, pizza Margherita is baked in a wood-fired oven for no longer than 60-90 seconds. The end result should be a soft and fragrant pizza, with no blackened spots, that can be folded without tearing. The mozzarella should have melted and the basil leaves are darkened but not burnt.","Naples, Italy",5,"['1 L (4 1/4 cups) water', '40 – 60g (1.4 - 2.1 oz) salt', '3g (1/2 tsp) fresh yeast', '1,6 –1,8 kg (13 1/3 - 15 cups) flour, 00 type (or, all-purpose)', '60 – 80g (2.1 - 2.8 oz) canned, peeled tomatoes', '6 – 7g (1 1/2 tsp) virgin or extra virgin olive oil', '80 – 100g (2.8 - 3.5 oz) mozzarella/fior di latte', 'a few fresh basil leaves', '5 – 7g (1 1/2 tsp) hard cheese (grated), optional']",10,1h,5min,-,9h 5min,TasteAtlas,"['Dissolve salt in water, then add the yeast to the water and dissolve. Immediately add a portion of the flour to the water and mix. Add the remaining flour in batches, gauging how much flour is enough.', ""Knead for a minimum of 15-20 minutes, but ideally, 30 minutes — the dough is of ideal consistency when it's a bit sticky on the hands, and on the sides of a bowl, you're mixing it in."", 'Shape it into a ball, then lightly coat with flour, to prevent losing moisture as it rises.', 'Place the dough in a large bowl, then cover it with a cloth and store it in a warm place for two hours.', ""After two hours have passed, shape the dough into balls weighing either 200 or 280 grams (7-10 oz), depending on the size of the pizza you're making — a 22-24 cm (8.6-9.4-inch) or a 28-35 cm (11-13.5-inch) one."", ""Once you've shaped the balls, place them all on a plate and cover them with a damp cloth and let them prove for a minimum of six hours."", 'Once at least six hours have passed, take a ball of dough, place it on a lightly floured surface.', 'Pressing on the ball of dough with the thumbs of your fingers, starting from the center and going towards the edges, shape into a disc, turning the dough several times in the process.', 'As a result of this action, you should end up with a disc that has about a 1-2 cm (1/2-inch) raised rim with a center that should be approximately 0.3 cm (1/8-inch) thick.', 'Arrange the topping (the listed amounts are for a single pizza) as follows; First, place the crushed, peeled tomatoes in the center of the pizza, then spread them with a spoon all over, except the rim, in a spiraling fashion.', ""Next, scatter the mozzarella or fior di latte evenly over the surface, followed by a sprinkling of hard grated cheese, if you're using it."", 'Place a few basil leaves on top, and to finish, drizzle with extra virgin olive oil, which should be applied in a circular motion, starting from the center outwards.', 'Place the pizza on a pizza peel and then slide it into a wood-fired oven with a quick wrist motion, so the topping stays in place.', 'Bake for 60-90 seconds in a wood-fired oven at a temperature of about 485°C/905°F, checking the doneness by carefully lifting the edges of the pizza.', 'Also, the pizza should be rotated as it bakes but kept in the same cooking area, so every part gets baked evenly.', 'The finished pizza should have a thick tomato sauce, with melted mozzarella and basil leaves that have browned but are not burnt.']",https://www.tasteatlas.com/margherita/recipe,https://www.tasteatlas.com/images/recipes/a99232294df34cc49be27526f6de291d.jpg?mw=910
Authentic Carnitas,"Originating from the state of Michoacán in Mexico, carnitas, which translates to ""little meats"" in Spanish, is made by cooking pork in copious amounts of lard for hours until achieving a perfect balance between tender, juicy meat and crispy, golden brown outside. All parts of the pig are used, including the feet, the head, and the entrails. The meat is usually first roasted until crispy and browned on the outside, then simmered low and slow so it turns fork-tender. Traditionally, the meat is seasoned only with salt, although frequently, recipes will include additional seasonings such as bay leaves, onions, garlic, and orange juice, for example, which all cook in the lard together with meat. Carnitas is traditionally prepared in a large copper pot, which conducts even heating. In a taqueria, you can order carnitas by picking the part of the pig you'd like in your taco or even order a surtida taco with every bit of pig. Carnitas are usually used to make tacos, burritos, and tortas ... READ MORE","Michoacán, Mexico",4.5,"['5 lbs (2.3 kg) various bits of pork', 'salt', '3 qt (2.6 kg) lard', '3 oranges, zest of', '5 bay leaves', '1 white onion, quartered', '1 head garlic, sliced in half']",20,30min,4h,-,4h 30min,TasteAtlas,"['Cut the meat into large pieces and season well with salt.', 'Heat lard in a pot to around 200°F/93°C; you may need over 3 quarts.', 'Add pork in stages, based on how long it takes them to cook, so in the following order: hocks, feet, tongue, heart, jowls, shoulder, ribs, hind leg, skin, belly, and loins. Wait 30 minutes before adding the next type of meat. Remember that even the quickest cooking meat, like loin, cooks for at least an hour.', 'As soon as the first piece of pork is in, include all other ingredients (herbs and seasonings).', 'Maintain a temperature of about 195°F/90°C until everything is tender, which usually takes around 4 hours.', 'Once the meat is tender, remove it, let it cool slightly, then debone.', 'For the finish, either fry the meat at 350°F/180°C for a crispy exterior if you are not saving the lard or sear in the pot with only 1 cup (240g) of lard if you plan to reuse the rest of the lard.', 'Chop or shred the finished meat for serving. It stays fresh for a week in the refrigerator and can be frozen.']",https://www.tasteatlas.com/carnitas/recipe,-
Classic Manti,"A member of a world-popular family of dumplings, Turkish manti is a delicious pasta dish traditionally filled with onion, ground meat (most commonly lamb or beef) and spices, covered with aromatic yogurt-garlic sauce and drizzled with tangy red pepper-tomato sauce. The city of Kayseri in Central Anatolia is known for making the best manti, while in Eastern Anatolia a vegetarian version prevails, filled with crushed chickpeas, cumin, and red pepper flakes. First, a dough is prepared by mixing flour, water, salt, and sometimes eggs, and is then rolled out thinly and cut into small squares. Each square is filled with a mixture of ground meat, onion, and spices, and shaped in the form of a small pouch, pinched at the top. The manti dumplings are then baked shortly, after which they are simmered in salted water and drizzled with a white and a red sauce which give freshness and spiciness. Since making manti is time-consuming, most Turkish women get together and turn it into a group project, which makes preparation both quicker and more pleasurable. The main characteristic of Turkish manti is that they are significantly smaller than their ravioli-like relatives in Asian and European cuisines. Legend has it that if a spoonful of manti contains less than 40 pieces, the single girl who made them isn’t fit to become a bride.","Turkiye, Asia",5,"['300 g all-purpose flour, plus a little extra for rolling', '1 tsp sea salt', '1 egg', '60 ml (¼ cup) water', '2 tbsp olive oil', '225 g ground beef or lean ground lamb', '1 onion', 'salt', 'black pepper, freshly ground', '500 g thick and creamy plain yogurt', '1-2 cloves garlic, crushed or finely chopped', 'salt', '4 tbsp olive oil', '1 tbsp Turkish hot pepper paste (biber salçası) or tomato paste', '2 tsp dried spearmint', '1 tsp (or more) ground sumac (optional)', '1 tsp (or more) Turkish red pepper flakes, chili flakes, pul biber']",4,1h,25min,-,1h 25min,TasteAtlas,"['To begin, preheat the oven to 180˚C and make the dough for mantis. Take a large bowl, sift flour and salt in it, creating a well in the center. Whisk one egg, pour it into the flour and salt mixture, follow with water, and combine with your hands. Now, add olive oil and knead until the dough is elastic and lump-free, but still quite firm, for 5 to 8 minutes. Cover with plastic wrap or a kitchen cloth, and place in a refrigerator for 30 minutes.', 'Next, prepare the filling. Chop the onion into fine pieces or grate it, add the ground meat, and season with salt and pepper. Mix and set aside.', 'Now, mix garlic and yogurt in a separate bowl and salt to taste.', 'Remove the dough from the refrigerator and divide it into three pieces. Lightly flour the working surface, take one piece of the dough, and roll it as thinly as possible, covering the remaining two pieces with a damp towel. Cut the rolled dough into small squares (2,5 cm by 2,5 cm) and place a small amount of meat filling in the center of each square. Now, shape each square into a small pouch by pinching together opposite corners, pressing firmly so the dough sticks together. Repeat with the remaining two pieces of dough.', 'Arrange the mantis in a greased baking dish and bake for 10 minutes. Let them cool. If you wish to freeze some mantis for later, place them in a Ziploc bag.', 'To boil the mantis, simmer them for 8 to 10 minutes in slightly salted water. Drain well and return to the pan they were baked in, drizzling with a little oil to prevent them from sticking.', 'To prepare the sauce, heat the oil and stir in biber salcasi (Turkish hot pepper paste) or some tomato paste. Add red pepper flakes, dried spearmint, and sumac, and continue simmering for 1 – 2 minutes.', 'To serve, place the mantis on a serving dish and drizzle them with yogurt-garlic sauce, followed by red spicy sauce. Serve hot.']",https://www.tasteatlas.com/manti/recipe,https://www.tasteatlas.com/images/recipes/301c5a91194d4d9b82bfa82d56a2cc72.jpg?mw=910
Chateaubriand In The Style Of Escoffier,"Made from the softest piece of beef tenderloin, châteaubriand (alternative spelling: chateaubriand) is a true aristocrat of French cuisine. Carefully seasoned and grilled meat is cut into slices and served with either chateaubriand or béarnaise sauce and potatoes, but the name chateaubriand may also refer to the above-mentioned piece of meat. Beef tenderloin is trimmed on both sides so only the central, juiciest part remains. This part usually weighs between 350 and 500 grams, so the recipe generally serves two. The meat is seasoned with olive oil, ground pepper and salt and grilled briefly on high, and then on medium temperature so it preserves its juices and remains pink on the inside. In order to prevent the meat from drying or overcooking, some of the older recipes even suggested enveloping it with two thin slices of beef which are disposed of afterwards.","France, Europe",4.2,"['1 chateaubriand steak (350-500 g)', '1 dl olive oil', 'sea salt', 'freshly ground pepper', '1 tbsp chopped shallots', '55 g chopped tarragon stalks', '85 g chervil', 'mignonette pepper', 'salt', '4 tbsp vinegar', '5 egg yolks', '170 g melted butter', '28 g chopped shallots', '1 sprig of thyme', '28 g mushroom pairings', '1.2 dl white wine', '2.4 dl veal gravy', '115 g maître d’hotel butter', 'a pinch of chopped tarragon']",2,20min,20min,-,40min,TasteAtlas,"['Buy a piece of beef tenderloin, trim and cut the front and the rear part so only the central part remains. Alternatively, ask your butcher for a chateaubriand fillet. Allow to rest until it reaches room temperature and season with salt, pepper and olive oil. Place on hot grill or pan for 5-10 seconds on each side, then reduce the flame and grill for another 4-5 minutes so it remains pink and juicy on the inside. Place on a hot plate and leave to rest. Serve with either béarnaise or chateaubriand sauce and potatoes - pommes soufflées or pommes château.', 'For béarnaise sauce, place the shallots, tarragon, chervil, pepper, salt and vinegar into a small stewpan and reduce the vinegar by two-thirds. Remove from fire, let it cool for a little, and add the egg yolks. Put the stewpan back on a low fire and gradually combine with melted butter. Whisk the sauce in order to achieve creamy texture, and additionally rub through tamis. Complete the seasoning with chervil pairings, chopped tarragon leaves and a suspicion of cayenne. Béarnaise sauce should be served tepid.', 'For chateaubriand sauce, put the shallots, thyme, bay, mushrooms and white wine into the stewpan. Reduce the wine almost entirely, add veal gravy and reduce again until the liquid only measures 1,2 dl. Strain through muslin, remove from fire and finish with adding the maître d’hotel butter (butter combined with salt, pepper, fresh parsley and a few drops of lemon juice) and some chopped tarragon.']",https://www.tasteatlas.com/chateaubriand/recipe,-
Carne Asada Tacos,"Carne asada taco is considered the first type of taco to exist. Carne asada or grilled meat is the main ingredient. Skirt steak, flap steak, flank steak, and even chuck steak are the usual choices. They are marinated and slow-cooked over charcoal and then cut into small pieces. The pieces of meat are added to a tortilla and usually topped with guacamole or salsa verde, chopped onion, and cilantro and drizzled with lime juice. Tacos can be eaten as is or paired with a side dish, such as refried beans, Mexican rice, and grilled onion.","Mexico, North America",4.9,"['2-3 cloves garlic, sliced', '1 tsp fresh cracked pepper', '1 tsp kosher salt', '½ tsp Mexican oregano', 'Juice of 1 large lime', '¼ cup (60 ml) olive oil', '1 small Hass avocado', '1 serrano pepper, roughly chopped', '1 tbsp cilantro', '1 tbsp white onion', 'Juice of 1/2 lime', '1/3 cup (80 ml) + 2 tsp cold water', 'salt, to taste', '1.1 lb (500g) skirt steak (or flank steak)', '18 small corn tortillas', '1 small white onion, finely diced', '1/3 cup (20g) cilantro, chopped', '½ cup (60g) radishes, sliced', '2 limes, sliced into wedges']",6,20min,15min,3h,3h 35min,TasteAtlas,"['In a blender, mix all of the marinade ingredients until smooth. Add more salt, if necessary. Pour the marinade into a plastic bag and place the steak inside. Zip the bag and marinate in the refrigerator for 2 hours.', 'Clean the blender and add the ingredients for the avocado salsa. Blend until creamy, add more salt if required, and pour into a serving dish. Cover with some plastic film and refrigerate until serving time.', 'Prepare the garnishes – chop the onion and the cilantro, slice the radishes, and cut the limes into wedges. Cover and chill until ready to serve.', 'Allow the meat to come to room temperature for at least 40 to 50 minutes before grilling. Preheat the outdoor grill for about 8 to 10 minutes to medium/high heat, with the lid closed. Brush grates with some oil. Remove any excess marinade from the meat and place it onto the grill. Grill for approximately 7 to 10 minutes, taking into account the thickness of the steak. Turn over halfway through the cooking process. If you wish your steak to be medium/rare, grill until the internal temperature reaches 130-135ºF (54-57°C). For a medium cooked steak, let the temperature reach 145ºF (62°C).', 'Place the steak onto a cutting board and cover it loosely with some foil paper. Let it rest for 5 to 7 minutes. In the meantime, warm the tortillas.', 'Slice the meat into thin strips, then cut into small, bite-sized chunks. Assemble tacos with two tortillas stacked. Top with avocado salsa, onion, cilantro, radishes, and lime.']",https://www.tasteatlas.com/carne-asada-tacos/recipe,https://www.tasteatlas.com/images/recipes/d2f9d1143d3f4e0db65ddc362a3e24c5.jpg?mw=910
Suancai Shuǐjiǎo,"A member of the large family of Chinese dumplings jiaozi, shuǐjiǎo — meaning simply boiled dumplings — is a dish which is both everyday and festive. Served as a street food, in traditional restaurants, and on special occasions such as the Chinese New Year or family gatherings, shuǐjiǎo is a blank canvas whose fillings reflects the seasons, the region it is coming from, and personal taste. The preparation of shuǐjiǎo requires quite a lot of skill and time; therefore it is common to make it a group project. Usually, the filling is made with ground pork, Chinese sauerkraut, onions, scallions, garlic chives, prawns, cabbage, and mushrooms, but an entire array of other ingredients may be included. The wrappers can be store-bought or made from scratch by mixing wheat or rice flour with water and salt and kneading it into an elastic dough. This is where the skill kicks in — after resting for a while, the dough is divided into small pieces which ... READ MORE","China, Asia",4.8,"['300 g flour', 'water', '2 tsp salt', '400 g minced pork', '400 g suan cai – Chinese sauerkraut', '3 tbsp sunflower seed oil', '2 tsp white sugar', '10 g green onions', '1 small piece ginger', '3 tsp soy sauce', 'salt, to taste']",8,1h,15min,-,1h 15min,TasteAtlas,"['First, prepare the dough. Mix flour and salt and add just enough water to get a smooth, elastic dough which does not stick to your hands. Cover the dough and leave it to rest for at least 30 minutes.', 'In the meantime, prepare the filling. First, wash the suan cai and green onions and peel the ginger. Chop the onions into small pieces and grate the ginger.', 'In a large bowl, combine pork, green onions, ginger, sunflower oil, salt, sugar and some cold water.', 'Squeeze the suan cai using your hands to drain it, cut it into smaller pieces, then stir it into the filling mixture.', 'Dust the working surface with flour and divide the dough into two pieces. Roll out each half into a thin, long rope and cut it into smaller pieces similar to gnocchi. Press each piece with the palm of your hand to get a flat circle. Then, using a rolling pin, roll it out, so the middle is slightly thicker than the edges.', 'Now, fill each dumpling wrapper with 1- 1,5 tbsp of filling. Place the dough circle on the palm of your left hand, drop the filling into the middle, and fold in half, sealing the edges, so they get a pleated appearance. Repeat until all the wrappers are filled.', 'Boil a pot of water. Add dumplings, and when the water starts boiling again pour in 1 cup of cold water. Repeat three times. When the dumplings start floating on the surface, take them out and serve.']",https://www.tasteatlas.com/shuijiao/recipe,https://www.tasteatlas.com/images/recipes/d2e55816dead4000a74727c52bf1b22c.jpg?mw=910
